county,fiscal_year,delivery_system,beneficiaries,yoy_growth_pct
Plumas,2021/22,NSMHS,1506.0,6.37
Plumas,2021/22,SMHS,931.0,6.37
Plumas,2022/23,NSMHS,1482.0,-7.96
Plumas,2022/23,SMHS,761.0,-7.96
Riverside,2019/20,NSMHS,162147.0,
Riverside,2019/20,SMHS,60144.0,
Riverside,2020/21,NSMHS,174898.0,5.8
Riverside,2020/21,SMHS,60278.0,5.8
Riverside,2021/22,NSMHS,205210.0,10.91
Riverside,2021/22,SMHS,55614.0,10.91
Riverside,2022/23,NSMHS,250177.0,17.92
Riverside,2022/23,SMHS,57389.0,17.92
Sacramento,2019/20,NSMHS,110145.0,
Sacramento,2019/20,SMHS,49779.0,
Sacramento,2020/21,NSMHS,115758.0,3.41
Sacramento,2020/21,SMHS,49616.0,3.41
Sacramento,2021/22,NSMHS,115305.0,-1.15
Sacramento,2021/22,SMHS,48161.0,-1.15
Sacramento,2022/23,NSMHS,130739.0,5.77
Sacramento,2022/23,SMHS,42161.0,5.77
San Benito,2019/20,NSMHS,1530.0,
San Benito,2019/20,SMHS,1782.0,
San Benito,2020/21,NSMHS,1642.0,6.46
San Benito,2020/21,SMHS,1884.0,6.46
San Benito,2021/22,NSMHS,1596.0,-0.51
San Benito,2021/22,SMHS,1912.0,-0.51
San Benito,2022/23,NSMHS,1798.0,6.1
San Benito,2022/23,SMHS,1924.0,6.1
San Bernardino,2019/20,NSMHS,171050.0,
San Bernardino,2019/20,SMHS,52390.0,
San Bernardino,2020/21,NSMHS,179820.0,2.22
San Bernardino,2020/21,SMHS,48575.0,2.22
San Bernardino,2021/22,NSMHS,201107.0,9.16
San Bernardino,2021/22,SMHS,48201.0,9.16
San Bernardino,2022/23,NSMHS,243190.0,16.01
San Bernardino,2022/23,SMHS,46028.0,16.01
San Diego,2019/20,NSMHS,245260.0,
San Diego,2019/20,SMHS,77644.0,
San Diego,2020/21,NSMHS,243183.0,-0.44
San Diego,2020/21,SMHS,78311.0,-0.44
San Diego,2021/22,NSMHS,268020.0,6.81
San Diego,2021/22,SMHS,75364.0,6.81
San Diego,2022/23,NSMHS,309960.0,12.62
San Diego,2022/23,SMHS,76742.0,12.62
San Francisco,2019/20,NSMHS,35392.0,
San Francisco,2019/20,SMHS,34407.0,
San Francisco,2020/21,NSMHS,39036.0,2.36
San Francisco,2020/21,SMHS,32410.0,2.36
San Francisco,2021/22,NSMHS,40502.0,1.6
San Francisco,2021/22,SMHS,32087.0,1.6
San Francisco,2022/23,NSMHS,43434.0,4.07
San Francisco,2022/23,SMHS,32106.0,4.07
San Joaquin,2019/20,NSMHS,75780.0,
San Joaquin,2019/20,SMHS,24426.0,
San Joaquin,2020/21,NSMHS,80537.0,3.95
San Joaquin,2020/21,SMHS,23630.0,3.95
San Joaquin,2021/22,NSMHS,77078.0,-3.45
San Joaquin,2021/22,SMHS,23497.0,-3.45
San Joaquin,2022/23,NSMHS,91718.0,13.78
San Joaquin,2022/23,SMHS,22715.0,13.78
San Luis Obispo,2019/20,NSMHS,20506.0,
San Luis Obispo,2019/20,SMHS,7052.0,
